"","mean.other","mean.Mortierellomycetes","mean.Tremellomycetes","mean.Umbelopsidomycetes","mean.Agaricomycetes","mean.Sordariomycetes","mean.Eurotiomycetes","mean.Leotiomycetes","mean.Pezizomycetes","mean.Dothideomycetes"
"JERC_003-M-1-7-20140805",0.0541929339331659,0.0221004093996226,0.0259248987037696,0.0153943186199701,0.61191085214413,0.0521866484748408,0.0578798479324209,0.0224672826027448,0.0568757014510163,0.0810671067383184
"JERC_003-M-3-26-20140805",0.0620896736566605,0.025626484583965,0.0326026476741648,0.0178527282063255,0.573432634382717,0.0602812875569653,0.0610389618672233,0.0256741947496637,0.0549870965473817,0.0864142907749327
"JERC_003-M-33-0-20140805",0.0508690991716299,0.0222116193496338,0.0270502409373385,0.0112030116726063,0.62594342978832,0.0596823666239067,0.0473428709661192,0.0193111583577562,0.0548685058954371,0.0815176972372527
"JERC_005-M-24-40-20140805",0.0556187663464453,0.0202148917825617,0.0205989374516506,0.023813309012807,0.597136475271956,0.0386231610781372,0.075806633227365,0.0264905027711852,0.0644442883332798,0.0772530347246117
"JERC_005-M-33-2-20140805",0.0506104029844702,0.0194479061359518,0.0202347133944189,0.0169994760448099,0.628570935593724,0.0415207353159431,0.0628163830471634,0.022352317438282,0.06157712749895,0.0758700025462865
"JERC_005-M-4-9-20140805",0.052738759948628,0.018123459265467,0.0166065743253518,0.028855034880741,0.595549863726528,0.0309050107118249,0.0867882018678432,0.0278581262317905,0.069164733212842,0.0734102358289838
"JERC_006-M-15-33-20140710",0.0533626900211945,0.0210299862804238,0.0230754595543395,0.0172293372756023,0.615165025670031,0.0464331080980548,0.0620731715413688,0.0230831052838686,0.0596653815702657,0.0788827347048508
"JERC_006-M-2-0-20140805",0.0584406736972473,0.022341689478936,0.0249891270891204,0.0211773606625253,0.58974534980547,0.0463989341479887,0.069548707314941,0.026183948752302,0.060097584236038,0.0810766248154313
"JERC_006-M-21-39-20140710",0.0533067987661609,0.0209643173559701,0.0230806094449441,0.0171272621363652,0.615511808075531,0.0464806583684093,0.061927270816768,0.0229100709734251,0.0597802016481359,0.0789110024142898
"JERC_006-M-8-11-20140805",0.0537276283808359,0.0210242128874353,0.0230958598755627,0.0174159746798141,0.613711713881733,0.0459932613510114,0.0629596031827287,0.0232795828597787,0.0599426033139496,0.0788495595871508
"JERC_008-M-23-30-20140805",0.0428763742821139,0.0171621788500835,0.0172299005768985,0.0116175553139633,0.669217153939269,0.0406254936436852,0.0507193535596048,0.0175040953459871,0.0612588836740516,0.0717890108143428
"JERC_008-M-33-4-20140805",0.0524369793254559,0.0203981522235252,0.0220230610367468,0.0170174819221301,0.620347389044718,0.0446669691989943,0.0622563090561103,0.0226615902080687,0.0603996815309362,0.0777923864533144
"JERC_047-M-36-16-20140805",0.0531711394361463,0.0214564022024785,0.0232336490186869,0.0155400116321154,0.617985555934346,0.0495718838895938,0.0585641668258995,0.0220469121331745,0.0593407478620688,0.0790895310654901
"JERC_047-M-6-12-20140805",0.0532850623317583,0.0228909901681626,0.0271350565383024,0.0126212347651389,0.615184345114868,0.0595436462787744,0.0509524923635071,0.0204795975085984,0.0558603754837847,0.0820471994471047
"JERC_048-M-19-30-20140805",0.0519274435821658,0.0202335762048321,0.0210278852172999,0.0171054747973756,0.62216278422695,0.0437272807499731,0.0628533880739481,0.022552036866081,0.0612971340868807,0.077112996194494
"JERC_048-M-31-3-20140805",0.0523144174307597,0.0211909636166066,0.0233931888396724,0.0150819174468335,0.621424638341027,0.0493919154174413,0.0578617284543668,0.0217733412480604,0.0585836930026588,0.078984196202574
"JERC_049-M-2-27-20140805",0.0637094822325927,0.0233619100156398,0.025534632176031,0.0288128707735426,0.557422064994583,0.0437584897725994,0.0837634917378509,0.0309215040978877,0.0610649462911599,0.0816506079081128
"ORNL_001-O-17-34-20140715",0.10521556932999,0.16534752591375,0.050850304998884,0.0455876658271127,0.310580947074119,0.0946502888015864,0.0738709332610846,0.0577223965792444,0.0350557251954238,0.061118643018805
"ORNL_003-O-9-11-20140714",0.111015272096273,0.164617337064065,0.0554996777268817,0.0606655500736282,0.284687055340095,0.0830462109392529,0.0823173019003853,0.0663329215850857,0.0324324093524288,0.0593862639219051
"ORNL_021-O-15-33-20140714",0.115342798731552,0.218423105870641,0.0488978557109944,0.0344389915915347,0.19897092420208,0.170947270622489,0.0686589819391839,0.0525791061745195,0.0310763192221439,0.060664645934861
"ORNL_029-O-9-2-20140714",0.0753196098383919,0.130243436276861,0.0279569942768244,0.0207564237288565,0.45197502285669,0.0936181710402657,0.0582195378883571,0.0363442258911201,0.0458145309092208,0.0597520472934122
"ORNL_031-O-11-3-20140714",0.119595848933756,0.242316392855528,0.0455087642165703,0.0317408253841108,0.144979009242188,0.214330947632197,0.06540139718918,0.0499030294943449,0.0287737574211443,0.0574500276309801
"ORNL_037-O-4-23-20140715",0.0935353333156432,0.134520197602794,0.0417533629966019,0.0522359991908458,0.374601427315235,0.0649444548359404,0.0841984969951046,0.059715860470806,0.0366364441133075,0.0578584231637221
"ORNL_043-O-2-27-20140715",0.118996510485993,0.180142559285186,0.0665788525666061,0.0648535636744045,0.238804300628621,0.093620666932809,0.0793472080450363,0.069231097746552,0.0290184448409447,0.0594067957938477
"OSBS_001-M-17-34-20140701",0.086379466027228,0.106781370416802,0.042402484569499,0.0741124405184385,0.377543715918749,0.059262693977565,0.102808272509666,0.0473037673737957,0.0408360110972335,0.0625697775910243
"OSBS_001-M-17-34-20140818",0.0771272991629598,0.0941530611518601,0.0335096657476685,0.0642566799458099,0.434030566385124,0.0512248217881746,0.0982259116499961,0.042198077953082,0.0449292207600041,0.0603446954553211
"OSBS_001-M-26-3-20140701",0.0801071018452364,0.100041026026574,0.0372007898821354,0.0646129013494669,0.415331839266534,0.0565485688059768,0.0974858641745143,0.0431034787198393,0.0434882999639001,0.0620801299658222
"OSBS_001-M-26-3-20140818",0.0771194584338907,0.0948855817022548,0.0337763387380614,0.0636164794537864,0.434131216045989,0.0519878590346617,0.0970731261707315,0.0420115361126397,0.0450358681314228,0.0603625361765618
"OSBS_001-M-29-2-20140701",0.0776661671510881,0.0972021327172537,0.0356219336445134,0.0621309894057849,0.429699647017538,0.0550882511937641,0.0953673392849511,0.041714959679692,0.0443063170605114,0.0612022628449033
"OSBS_001-M-29-2-20140818",0.0806895119705965,0.103154054168683,0.0392799343682931,0.0589369992252926,0.41753271159261,0.0601869526568723,0.0920302439161075,0.0421586298653748,0.0428357653304041,0.0631951969057658
"OSBS_002-M-12-7-20140701",0.0523700429177725,0.0668145264586206,0.0192412731938642,0.0342309873190602,0.575526535845376,0.0424225258998252,0.0750899525939676,0.0265816716323204,0.0536155208579967,0.0541069632811968
"OSBS_002-M-12-7-20140818",0.0566454519040787,0.0654979833142712,0.0172515674387927,0.0480665330056104,0.546716537623313,0.0340251029094594,0.0916690161588404,0.0312345477347596,0.0561386819317097,0.0527545779791646
